ID,CAS,name,molecular formula,chemical structure,B3,C4,C3,C2,N+3,N3,N2,N1,O-1,O2,O1,F1,P4,S4,S3,S1,Cl1,R4,R5,R6,R7,OP
1,75-12-7,Formamide,CH3NO,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.84
2,68-12-2,"N,N-Dimethylformamide (DMF)",C3H7NO,,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.65
3,127-19-5,"N,N-Dimethylacetamide (DMA)",C4H9NO,,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.46
4,79-16-3,N-Methylacetamide (NMA),C3H7NO ,,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.04
5,60-35-5,Acetamide,C2H5NO ,,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.72
6,62-55-5,Thioacetamide,C2H5NS ,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.29
7,563-83-7,Isobutyramide,C4H9NO ,,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.67
8,541-35-5,Butyramide,C4H9NO ,,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.63
9,57-13-6,Urea,CH4N2O ,,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.22
10,79-05-0,Propionamide,C3H7NO ,,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.21
11,431-14-1,Dimethylcarbamyl fluoride,C3H6FNO ,,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.1
12,367-49-7,2-Fluoro-N-methylacetamide ,C3H6FNO,,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.14
13,192507-21-4,N-Fluoromethyl-N-methylformamide ,C3H6FNO,,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.18
14,627-45-2,N-Ethylformamide,C3H7NO,,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.08
15,4370-12-1,Cyanoformamide,C2H2N2O,,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.49
16,624-84-0,Formylhydrazine,CH4N2O ,,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.91
17,197718-59-5,n-Cyanoformamide,C2H2N2O,,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.2
18,598-55-0,Methyl carbamate,C2H5NO2,,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.7
19,-,Carbamic acid fluoride,CH2FNO,,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.47
20,123-39-7,N-Methylformamide,C2H5NO ,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11
21,-,3-Fluoropropanamide,C3H6FNO,,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.42
22,1735-78-0,"2-Fluoro-N,N-dimethylacetamide",C4H8FNO ,,0,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.65
23,6452-47-7,Methylaminoformyl chloride,C2H4ClNO,,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.65
24,463-72-9,Carbamoyl chloride,CH2ClNO ,,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.39
25,640-19-7,Fluoroacetamide,C2H4FNO ,,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.96
